values1,multiplier5,selector5,multiplier6,selector6,multiplier7,selector7,multiplier8,selector8,multiplier1,selector1,multiplier2,selector2,multiplier3,selector3,multiplier4,selector4
,1.0,,1,,,,,,1.05,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.05,,1.07,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.01,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,1.0,,1.0,
,1.0,,1,,,,,,1.0,,1.0,,2.0,,1.0,
